id,product_id,name,description,price,strength,image_url
d7f8e9a0-1b2c-3d4e-5f6a-7b8c9d0e1f2a,bpc-157-5mg,BPC-157 5mg,Body Protection Compound promotes healing of muscle and tendon injuries. Supports gut health and accelerates recovery.,49.99,5mg,/BPC-157 10mg.png
a1b2c3d4-e5f6-7890-1234-567890abcdef,bpc-157-10mg,BPC-157 10mg,Body Protection Compound promotes healing of muscle and tendon injuries. Supports gut health and accelerates recovery.,79.99,10mg,/BPC-157 10MG.png
b2c3d4e5-f6a7-8901-2345-678901bcdef0,tb-500-5mg,TB-500 5mg,Thymosin Beta-4 fragment promotes tissue repair and reduces inflammation. Enhances recovery and flexibility.,54.99,5mg,/TB-500 10MG.png
c3d4e5f6-a7b8-9012-3456-789012cdef01,tb-500-10mg,TB-500 10mg,Thymosin Beta-4 fragment promotes tissue repair and reduces inflammation. Enhances recovery and flexibility.,89.99,10mg,/TB-500 10MG.png
d4e5f6a7-b8c9-0123-4567-890123def012,ipamorelin-5mg,Ipamorelin 5mg,Growth hormone secretagogue that promotes lean muscle growth and fat metabolism without affecting cortisol levels.,44.99,5mg,/IPAMORELIN.png
e5f6a7b8-c9d0-1234-5678-901234ef0123,ipamorelin-10mg,Ipamorelin 10mg,Growth hormone secretagogue that promotes lean muscle growth and fat metabolism without affecting cortisol levels.,74.99,10mg,/IPAMORELIN copy.png
f6a7b8c9-d0e1-2345-6789-012345f01234,cjc-1295-5mg,CJC-1295 5mg,Modified growth hormone releasing hormone that increases GH and IGF-1 levels for enhanced muscle growth.,52.99,5mg,/CJC-1295IPAMORELINE 5MG.png
a7b8c9d0-e1f2-3456-7890-123456012345,cjc-ipamorelin-5mg,CJC-1295 + Ipamorelin 5mg,Synergistic blend combining CJC-1295 and Ipamorelin for optimal growth hormone release and recovery.,64.99,5mg,/CJC-1295IPAMORELINE 5MG copy.png
b8c9d0e1-f2a3-4567-8901-234567123456,ghk-cu-50mg,GHK-Cu 50mg,Copper peptide complex that promotes collagen synthesis and skin regeneration. Powerful anti-aging properties.,59.99,50mg,/GHK-CU 50MG.png
c9d0e1f2-a3b4-5678-9012-345678234567,selank-5mg,Selank 5mg,Anxiolytic nootropic peptide that reduces anxiety and enhances cognitive function without sedation.,47.99,5mg,/SELANK 5MG.png
d0e1f2a3-b4c5-6789-0123-456789345678,semax-5mg,Semax 5mg,Nootropic peptide that enhances focus and memory. Supports neuroprotection and cognitive performance.,47.99,5mg,/SEMAX 5MG.png
